SN,MonitoringLocationIdentifier,USGSmatchedSite,USGS_siteNumber
1,IL_EPA_WQX-F-02,"Kankakee River at Momence, Illinois","05520500"
2,IL_EPA_WQX-FL-04,"Iroquois River at Iroquois, Illinois","05525000"
3,IL_EPA_WQX-FLI-02,"Sugar Creek at Milford, Illinois","05525500"
4,IL_EPA_WQX-FL-02,"Iroquois River near Chebanse, Illinois","05526000"
5,IL_EPA_WQX-F-16,"Kankakee River near Wilmington, Illinois","05527500"
6,IL_EPA_WQX-G-08,"Des Plaines River at Russell, Illinois","05527800"
7,IL_EPA_WQX-GL-09,"Salt Creek at Western Springs, Illinois","05531500"
8,IL_EPA_WQX-GLA-02,"Addison Creek at Bellwood, Illinois","05532000"
9,IL_EPA_WQX-G-39,"Des Plaines River at Riverside, Illinois","05532500"
10,IL_EPA_WQX-HCCC-02,"North Branch Chicago River at Deerfield, Illinois","05534500"
11,IL_EPA_WQX-HCC-07,"North Branch Chicago River at Niles, Illinois","05536000"
12,IL_EPA_WQX-HBD-04,"Thorn Creek at Thornton, Illinois","05536275"
13,IL_EPA_WQX-GBK-09,"West Branch Du Page River near West Chicago, Illinois","05539900"
14,IL_EPA_WQX-GBK-05,"West Branch Du Page River near Warrenville, Illinois","05540095"
15,IL_EPA_WQX-GB-11,"DuPage River at Shorewood, Illinois","05540500"
16,IL_EPA_WQX-DV-04,"Mazon River near Coal City, Illinois","05542000"
17,IL_EPA_WQX-D-23,"Illinois River at Marseilles, Illinois","05543500"
18,IL_EPA_WQX-DTK-04,"Nippersink Creek near Spring Grove, Illinois","05548280"
19,IL_EPA_WQX-DTG-02,"Poplar Creek at Elgin, Illinois","05550500"
20,IL_EPA_WQX-DT-09,"Fox River at South Elgin, Illinois","05551000"
21,IL_EPA_WQX-DTD-02,"Blackberry Creek near Yorkville, Illinois","05551700"
22,IL_EPA_WQX-DT-01,"Fox River near Dayton, Illinois","05552500"
23,IL_EPA_WQX-DS-06,"Vermilion River at Pontiac, Illinois","05554500"
24,IL_EPA_WQX-DS-07,"Vermilion River near Leonore, Illinois","05555300"
25,IL_EPA_WQX-DQ-03,"Big Bureau Creek at Princeton, Illinois","05556500"
26,IL_EPA_WQX-DK-12,"Mackinaw River near Green Valley, Illinois","05568000"
27,IL_EPA_WQX-DJL-01,"Indian Creek near Wyoming, Illinois","05568800"
28,IL_EPA_WQX-DJ-09,"Spoon River at London Mills, Illinois","05569500"
29,IL_EPA_WQX-DJ-08,"Spoon River at Seville, Illinois","05570000"
30,IL_EPA_WQX-E-29,"Sangamon River at Fisher, Illinois","05570910"
31,IL_EPA_WQX-E-18,"Sangamon River at Monticello, Illinois ","05572000"
32,IL_EPA_WQX-E-26,"Sangamon River at Riverton, Illinois","05576500"
33,IL_EPA_WQX-EL-01,"Spring Creek at Springfield, Illinois","05577500"
34,IL_EPA_WQX-EIG-01,"Lake Fork near Cornland, Illinois","05579500"
35,IL_EPA_WQX-EIE-04,"Kickapoo Creek at Waynesville, Illinois","05580000"
36,IL_EPA_WQX-EI-02,"Salt Creek near Greenview, Illinois","05582000"
37,IL_EPA_WQX-E-25,"Sangamon River near Oakford, Illinois","05583000"
38,IL_EPA_WQX-DG-04,"La Moine River at Colmar, Illinois","05584500"
39,IL_EPA_WQX-DG-01,"La Moine River at Ripley, Illinois","05585000"
40,IL_EPA_WQX-D-32,"Illinois River at Valley City, Illinois","05586100"
41,IL_EPA_WQX-DA-06,"Macoupin Creek near Kane, Illinois","05587000"
